ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001832973-20-000001	YES	101	0001832973	BVG RE Holdings I LLC	222 EAST 34TH STREET	APT. 716	NEW YORK	NY	NEW YORK	10016	(512) 912-6080	CONNECTICUT							Limited Liability Company		withinFiveYears	2020
0001566285-20-000003	YES	101	0001566285	SDN INC.	5901 23RD DRIVE WEST	SUITE 105	EVERETT	WA	WASHINGTON	98203	425-272-4430	WASHINGTON							Corporation		overFiveYears	
0000904454-20-000810	YES	101	0000315066	FMR LLC	245 SUMMER STREET		BOSTON	MA	MASSACHUSETTS	02210	6175706339	DELAWARE				FMR CORP			Limited Liability Company		overFiveYears	
0001042167-20-000059	YES	101	0001834604	Anything Possible Investment, LLC	156 NORTH JEFFERSON, SUITE 300		CHICAGO	IL	ILLINOIS	60661	630-728-5898	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001775560-20-000002	YES	101	0001775560	ELECTRICOM, LLC	1660 WEST HOSPITAL ROAD		PAOLI	IN	INDIANA	47454	800-483-5941	INDIANA							Limited Liability Company		overFiveYears	
0001689270-20-000003	YES	101	0001689270	Sortis Income Fund LLC	9 SE 3RD AVENUE, SUITE 100		PORTLAND	OR	OREGON	97214	844-476-7847	OREGON				Sortis Opportunity Fund I LLC			Limited Liability Company		withinFiveYears	2016
0001686885-20-000002	YES	101	0001686885	AX MOMENTUM, L.P.	9465 COUNSELORS ROW	STE 200	INDIANAPOLIS	IN	INDIANA	46240	317-941-0908	DELAWARE							Limited Partnership		withinFiveYears	2016
0001176256-20-000457	YES	101	0001836161	Discovery Gold, Inc.	99 Wall Street		New York	NY	NEW YORK	10005	929-900-8003	WYOMING							Corporation		withinFiveYears	2020
0001836287-20-000001	YES	101	0001836287	Main Street Phoenix Workers Co-op, LCA	1919 14TH STREET	SUITE 700	BOULDER	CO	COLORADO	80302	7204319129	COLORADO							Other	public benefit limited cooperative association	withinFiveYears	2020
0001686286-20-000002	YES	101	0001686286	Buchanan Craft LLC	15475 WALTON ROAD		BUCHANAN	MI	MICHIGAN	49107	6307722199	MICHIGAN							Limited Liability Company		withinFiveYears	2016
0001836306-20-000001	YES	101	0001836306	Monteagle-Flint Ridge Fund, LLC	1640 POWERS FERRY RD.	BLDG. 23	MARIETTA	GA	GEORGIA	30067	7702857785	GEORGIA							Limited Liability Company		withinFiveYears	2020
0001593876-20-000002	YES	101	0001593877	Emerging Markets Free Fund	4005 Kennett Pike	Suite 250	Greenville	DE	DELAWARE	19807	610-380-2110	DELAWARE							Other	Delaware Statutory Trust	overFiveYears	
0001836106-20-000001	YES	101	0001836106	Stonepeak Infrastructure Fund IV - Master Co-Investment Partners LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2020
0001772616-20-000002	YES	101	0001772616	Keen Decision Systems, Inc.	110 CORCORAN STREET		DURHAM	NC	NORTH CAROLINA	27701	919-917-8654	NORTH CAROLINA	Keen Associates, LLC	Keen Strategy, LLC	Keen Decision Systems, LLC				Corporation		overFiveYears	
0000919574-20-007499	YES	101	0001836048	Coatue CT 93 LLC	COATUE MANAGEMENT, L.L.C.	9 WEST 57TH STREET, 25TH FLOOR	NEW YORK	NY	NEW YORK	10019	212-715-5100	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000919574-20-007497	YES	101	0001836052	Coatue CT 92 LLC	COATUE MANAGEMENT, L.L.C.	9 WEST 57TH STREET, 25TH FLOOR	NEW YORK	NY	NEW YORK	10019	212-715-5100	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001593876-20-000001	YES	101	0001593876	Emerging Markets Global Fund	4005 Kennett Pike	Suite 250	Greenville	DE	DELAWARE	19807	610-380-2110	DELAWARE							Other	Delaware Statutory Trust	overFiveYears	
0000919574-20-007495	YES	101	0001661040	Two Sigma World Core Cayman Fund, Ltd.	INTERTRUST CORP SVCS (CAYMAN) LTD	190 ELGIN AVENUE, GEORGE TOWN	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9005	(212) 625-5700	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0000950103-20-024147	YES	101	0001836023	Baron USA Partners Fund Ltd.	C/O TRIDENT TRUST COMPANY (CAYMAN) LTD.	ONE CAPITAL PLACE, P.O. BOX 847	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1103	212-583-2000	VIRGIN ISLANDS, BRITISH	Baron Capital International Fund, Ltd.						Other	BVI Business Company	overFiveYears	
0001787508-20-000001	YES	101	0001787508	Adze Biotechnology Inc	805 LAKE STREET, #126		OAK PARK	IL	ILLINOIS	60301	9177439401	DELAWARE	Virion Biotechnology, Inc.						Corporation		withinFiveYears	2019
0000902664-20-004212	YES	101	0001835610	Shelter Growth Residential Mortgage Credit Fund LP	750 WASHINGTON BOULEVARD, SUITE 1050		STAMFORD	CT	CONNECTICUT	06901	(203) 355-6100	DELAWARE							Limited Partnership		withinFiveYears	2020
0001833435-20-000002	YES	101	0001833435	CCG SMALL PROPERTY FUND II LLC	10500 NE 8TH STREET	SUITE 301	BELLEVUE	WA	WASHINGTON	98004	425-214-1095	WASHINGTON							Limited Liability Company		withinFiveYears	2020
0001785716-20-000002	YES	101	0001785716	Adv3nture, Inc.	321 S BEVERLY DRIVE	STE M	BEVERLY HILLS	CA	CALIFORNIA	90212	8184579450	DELAWARE							Corporation		withinFiveYears	2019
0001757366-20-000007	YES	101	0001757366	GI ALLIANCE HOLDINGS, LLC	300 NORTH LASALLE STREET, SUITE 4900		CHICAGO	IL	ILLINOIS	60654	312-676-8400	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001799341-20-000002	YES	101	0001799341	LOMETA CAPITAL FUND LP	77 SUGAR CREEK CENTER BLVD	STE 410	SUGAR LAND	TX	TEXAS	77478	832-758-1269	TEXAS							Corporation		withinFiveYears	2019
0001836276-20-000001	YES	101	0001836276	SwitchedOn Training Inc.	1127 MARY JANE LN		BEACH PARK	IL	ILLINOIS	60099	3127411606	DELAWARE							Corporation		withinFiveYears	2019
0001835626-20-000001	YES	101	0001835626	BCP MFCP, LLC	700 W. ST. CLAIR AVENUE	SUITE 414	CLEVELAND	OH	OHIO	44113	216-820-4640	OHIO							Limited Liability Company		withinFiveYears	2020
0001761882-20-000001	YES	101	0001761882	CrossLiner, Inc.	2348 SHEFFIELD DRIVE		KALAMAZOO	MI	MICHIGAN	49008	269-352-4766	DELAWARE	CrossLiner, LLC						Corporation		withinFiveYears	2018
0001761631-20-000001	YES	101	0001761631	Black Eagle Investment Fund, LP	C/O BLACK EAGLE ASSET MANAGEMENT, LTD.	C/O MAPLES, UGLAND HOUSE, P.O. BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	(514) 581-8484	DELAWARE							Limited Partnership		withinFiveYears	2018
0001835855-20-000001	YES	101	0001835855	Berkley House Endeavors LLC	380 POLARIS PARKWAY	SUITE 135	WESTERVILLE	OH	OHIO	43082	6148956811	OHIO							Limited Liability Company		withinFiveYears	2020
0001831852-20-000001	YES	101	0001831852	Scienture Inc.	150 MOTOR PARKWAY, SUITE 401		HAUPPAUGE	NY	NEW YORK	11788	631-787-8575	DELAWARE							Corporation		withinFiveYears	2019
0001836222-20-000002	YES	101	0001836222	NB Private Debt Fund IV Lux (A) SCSp	12E, RUE GUILLAUME KROLL		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-1882	352 26 68 62 1	LUXEMBOURG							Limited Partnership		withinFiveYears	2020
0000892712-20-000346	YES	101	0001766379	Sky Holdco Corp	C/O PERMIRA ADVISERS LLC	320 PARK AVENUE, 28TH FLOOR	NEW YORK	NY	NEW YORK	10022	(212) 386-7480	DELAWARE							Corporation		withinFiveYears	2018
0001835995-20-000001	YES	101	0001835995	NetGiver, LLC	323 WASHINGTON AVENUE NORTH	INDUSTRIOUS - SUITE 200	MINNEAPOLIS	MN	MINNESOTA	55401	952.454.5684	MINNESOTA							Limited Partnership		withinFiveYears	2019
0001835436-20-000002	YES	101	0001835436	Stonepeak Digital Edge (Co-Invest) Holdings II LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001660962-20-000001	YES	101	0001660962	MVP Seismic, LP	C/O MVP SEISMIC GP, LLC	ONE SOUTH STREET, SUITE 2550	BALTIMORE	MD	MARYLAND	21202	(410) 454-3128	DELAWARE							Limited Partnership		withinFiveYears	2015
0001014108-20-000143	YES	101	0001835148	Juneau Storage, LLC	1307 SECOND AVENUE NORTH		MINNEAPOLIS	MN	MINNESOTA	55405	952-334-5282	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001176256-20-000456	YES	101	0001836118	Pegasus Development, Inc.	99 WALL STREET		NEW YORK	NY	NEW YORK	10005	929-900-8003	WYOMING							Corporation		withinFiveYears	2020
0001835821-20-000001	YES	101	0001835821	CH QOF Portland, L.P.	ONE BOSTON PLACE		BOSTON	MA	MASSACHUSETTS	02108	(617) 624-8300	DELAWARE							Limited Partnership		withinFiveYears	2020
0001836209-20-000001	YES	101	0001836209	H2J Investments SAU	LOT IVX 71 BIS ANKAZOMANGA ATSLMO	ANALAMANGA	ANTANANARIVO RENIVOHLTRA	N6	MADAGASCAR	101	01133761442277	MADAGASCAR							Corporation		withinFiveYears	2019
0001835813-20-000001	YES	101	0001835813	CH QOF Portland PF, L.P.	ONE BOSTON PLACE		BOSTON	MA	MASSACHUSETTS	02108	(617) 624-8300	DELAWARE							Limited Partnership		withinFiveYears	2020
0001836247-20-000001	YES	101	0001836247	GS St. Pete Hotel Investors, LLC	465 MEETING STREET	SUITE 500	CHARLESTON	SC	SOUTH CAROLINA	29403	(843) 579-9400	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001836211-20-000001	YES	101	0001836211	High Road Wine & Spirits, LLC	2040 WEST CORTEZ STREET		CHICAGO	IL	ILLINOIS	60622	3123152692	DELAWARE							Limited Liability Company		withinFiveYears	2017
0001834761-20-000001	YES	101	0001834761	Market Street Bancshares, Inc.	520 South 42nd Street		Mount Vernon	IL	ILLINOIS	62864	(618) 244-5157	ILLINOIS							Corporation		overFiveYears	
0001832836-20-000002	YES	101	0001832836	Saturn Unicorn LLC	745 FIFTH AVE., STE. 500		NEW YORK	NY	NEW YORK	10151	6468982000	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001835362-20-000001	YES	101	0001835362	Pinion Poll, LLC	34300 WOODWARD AVENUE	SUITE 200	BIRMINGHAM	MI	MICHIGAN	48009	248-766-2903	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001836208-20-000001	YES	101	0001836208	TZG Azar LLC	11140 ROCKVILLE PIKE SUITE 550B		NORTH BETHESDA	MD	MARYLAND	20852	2402920531	MARYLAND							Limited Liability Company		withinFiveYears	2020
0001836227-20-000001	YES	101	0001836227	10Talents Private Fund IX, L.P.	124 WASHINGTON STREET	SUITE 101	FOXBOROUGH	MA	MASSACHUSETTS	02035	508-549-5799	DELAWARE							Limited Partnership		withinFiveYears	2020
0001836233-20-000001	YES	101	0001836233	Lombard International Life Assurance Co Separate Account VL 292	ONE LIBERTY PLACE	1650 MARKET ST., 54TH FLOOR	PHILADELPHIA	PA	PENNSYLVANIA	19103	(484) 530-4800	PENNSYLVANIA							Other	insurance company separate account	withinFiveYears	2020
0001387131-20-010928	YES	101	0001829986	ACP 2020 TARGETED SECURITIES FUND LLC	205 OSER AVENUE		HAUPPAUGE	NY	NEW YORK	11788	631-851-0918	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000902664-20-004210	YES	101	0001628082	PrimeStone Capital Fund LP	C/O PRIMESTONE CAPITAL FUND (GP) LTD	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	44-20-7072-3154	DELAWARE							Limited Partnership		overFiveYears	
0000902664-20-004209	YES	101	0001761618	Selwood Credit Opportunities Feeder III LP	C/O SELWOOD ASSET MGMT. (CAYMAN) LTD	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	CAYMAN	44 203 862 2000	DELAWARE							Limited Partnership		withinFiveYears	2018
0000902664-20-004208	YES	101	0001659509	Marshall Wace Funds LP - MW TOPS World ex-US Plus Emerging Markets (US) Fund	C/O MARSHALL WACE (GP1) LTD.	190 ELGIN AVENUE	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9005	354-943-3100	DELAWARE				Marshall Wace Funds LP - MW TOPS World ex-US Plus Emerging Markerts (US) Fund	Marshall Wace Funds LP - MW TOPS World ex-US (US) Fund	Marshall Wace Fund LP - MW TOPS World ex-US (US) Fund	Other	Segregated sub-fund of limited partnership	withinFiveYears	2015
0001833791-20-000001	YES	101	0001833791	Dragoneer Private Opportunities, LP	C/O DRAGONEER INVESTMENT GROUP, LLC	ONE LETTERMAN DR., BUILDING D, STE M500	SAN FRANCISCO	CA	CALIFORNIA	94129	415-539-3097	CAYMAN ISLANDS							Other	CAYMAN ISLANDS EXEMPTED LIMITED PARTNERSHIP	withinFiveYears	2020
0001835929-20-000001	YES	101	0001835929	Dallas 102 LLC	30 N GOULD ST STE R		SHERIDAN	WY	WYOMING	82801	941-451-7489	WYOMING							Limited Liability Company		withinFiveYears	2020
0001835623-20-000002	YES	101	0001835623	LGN Innovations, Inc.	251 LITTLE FALLS DRIVE		WILMINGTON	DE	DELAWARE	19808	447540364813	DELAWARE							Corporation		withinFiveYears	2020
0001585151-20-000001	YES	101	0001585151	Performing Capital, LP	17031 BOCA CLUB BLVD	SUITE 87A	BOCA RATON	FL	FLORIDA	33487	561-210-8518	DELAWARE							Limited Partnership		overFiveYears	
0000950172-20-000150	YES	101	0001834261	Core Specialty Insurance Holdings, Inc.	221 Dawson Road	Floor 2	Columbia	SC	SOUTH CAROLINA	29223	(917) 704-6008	DELAWARE							Corporation		withinFiveYears	2020
0001829859-20-000003	YES	101	0001829859	Ravikant Capital, LP - A4	411 1ST AVE S	STE 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001796009-20-000008	YES	101	0001831464	K2 Wellington Liquid Technology Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9		KY1-9008	345-814-7600	E9							Other	Cayman Islands Exempted Company	overFiveYears	
0001793555-20-000002	YES	101	0001793555	STARlab Capital Fund, LP	2000 W PIONEER PARKWAY	STE 25	PEORIA	IL	ILLINOIS	61615	309-472-1029	DELAWARE							Limited Partnership		withinFiveYears	2019
0001835618-20-000001	YES	101	0001835618	Vii ETF Growth Fund, LP	12358 PARKLAWN DRIVE		NORTH BETHESDA	MD	MARYLAND	20852	240-506-0616	DELAWARE							Limited Partnership		withinFiveYears	2020
0001835486-20-000001	YES	101	0001835486	Somerdale Opportunities I, LP	630 N. 3RD STREET		PHILADELPHIA	PA	PENNSYLVANIA	19123	267-342-8914	DELAWARE							Limited Partnership		withinFiveYears	2020
0001796009-20-000009	YES	101	0001831465	K2 Western Asset Liquid Macro Opportunities Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2018
0001564717-20-000004	YES	101	0001564717	Partners Capital Greyhawk Cayman Feeder Fund, Ltd.	C/O PARTNERS CAPITAL INVESTMENT GROUP	600 ATLANTIC AVENUE, 30TH FLOOR	BOSTON	MA	MASSACHUSETTS	02210	(617) 292-2570	CAYMAN ISLANDS							Other	Cayman Islands exempted company	overFiveYears	
0001759466-20-000001	YES	101	0001759466	MerchantWise Solutions, LLC	1315 WEST SAM HOUSTON PARKWAY NORTH	SUITE 100	HOUSTON	TX	TEXAS	77043	(281) 578-8400	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001734876-20-000002	YES	101	0001734876	Circular Systems S.P.C.	719 S. LOS ANGELES STREET, #924		LOS ANGELES	CA	CALIFORNIA	98004	3104552433	WASHINGTON							Corporation		withinFiveYears	2017
0001836244-20-000001	YES	101	0001836244	DXE 4098 Cobb, LLC	4910 MERRICK ROAD, #33		MASSAPEQUA PARK	NY	NEW YORK	11762	516-695-0582	GEORGIA							Limited Liability Company		withinFiveYears	2020
0001836181-20-000001	YES	101	0001836181	Lanai Village Investors LLC	600 B STREET, 3RD FLOOR		SAN DIEGO	CA	CALIFORNIA	92101	858-775-7386	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001720819-20-000001	YES	101	0001720819	Spot Investment Fund LP	1 League	#62490	Irvine	CA	CALIFORNIA	92602	585.203.2026	DELAWARE							Limited Partnership		withinFiveYears	2017
0001835765-20-000001	YES	101	0001835765	4203 Investors LLC	324 WEST ROSE LANE		PHOENIX	AZ	ARIZONA	85013	602-735-5000	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001834963-20-000001	YES	101	0001834963	WIRED FIT, INC	5622 DRYSDALE DRIVE		SAN JOSE	CA	CALIFORNIA	95124	16692256424	CALIFORNIA							Corporation		withinFiveYears	2019
0001493434-20-000002	YES	101	0001493434	Partners Capital Harrier Fund (A), L.P.	600 ATLANTIC AVENUE, 30TH FLOOR		BOSTON	MA	MASSACHUSETTS	02210	617-292-2570	DELAWARE							Limited Partnership		overFiveYears	
0001062993-20-006264	YES	101	0001834015	Reliq Health Technologies Inc.	810 - 789 WEST PENDER STREET		VANCOUVER	A1	BRITISH COLUMBIA, CANADA	V6C1H2	604-687-2038	BRITISH COLUMBIA, CANADA	Golden Virtue Resources Inc.	Mountain Capital Inc., First Lithium Resources Inc.	Moseda Technologies Inc.				Corporation		overFiveYears	
0001834979-20-000001	YES	101	0001834979	Culdesac Opportunity Fund I, LP	1962 EAST APACHE BOULEVARD, #8179		TEMPE	AZ	ARIZONA	85281	646-430-0329	DELAWARE							Limited Partnership		withinFiveYears	2018
0001834963-20-000002	YES	101	0001834963	WIRED FIT, INC	5622 DRYSDALE DRIVE		SAN JOSE	CA	CALIFORNIA	95124	16692256424	CALIFORNIA							Corporation		withinFiveYears	2019
0001833335-20-000001	YES	101	0001833335	Airship Syndicate Entertainment, Inc.	11500 METRIC BLVD	SUITE 450	AUSTIN	TX	TEXAS	78758	512-623-7497	DELAWARE							Corporation		overFiveYears	
0001826289-20-000001	YES	101	0001826289	Insurance Lounge, LLC	1221 NE 7th St		GRANTS PASS	OR	OREGON	97526	541-479-4975	OREGON	Insurance Lounge Transitory, LLC						Limited Liability Company		withinFiveYears	2019
0001750921-20-000001	YES	101	0001750921	Partners Group Direct Equity 2019 (USD) A, L.P.	C/O PARTNERS GROUP (USA) INC.	1114 AVE OF THE AMERICAS, 37TH FLOOR	NEW YORK	NY	NEW YORK	10036	212-908-2600	DELAWARE							Limited Partnership		withinFiveYears	2018
0001750921-20-000002	YES	101	0001777273	Partners Group LIFE 2018 A, L.P.	PARTNERS GROUP (USA) INC.	1114 AVENUE OF THE AMERICAS, 37TH FLOOR	NEW YORK	NY	NEW YORK	10036	2129082600	DELAWARE							Limited Partnership		withinFiveYears	2018
0001788144-20-000001	YES	101	0001788144	Partners Group LIFE 2018 C-I, L.P.	C/O PARTNERS GROUP (USA) INC.	1114 AVENUE OF THE AMERICAS, 37TH FLOOR	NEW YORK	NY	NEW YORK	10036	212-908-2600	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2019
0001699513-20-000001	YES	101	0001699513	New Resource Solutions, LLC	762 W. UNION ST., STE. E		ATHENS	OH	OHIO	45701	937-541-1121	OHIO							Limited Liability Company		withinFiveYears	2016
0001835307-20-000001	YES	101	0001835307	STS Theta Fund US, LP	1011 KEARNY ST, MEZZANINE		SAN FRANCISCO	CA	CALIFORNIA	94133	424-229-2861	DELAWARE							Limited Partnership		withinFiveYears	2020
0001499632-20-000002	YES	101	0001499632	Ross Creek Partners, L.P.	80 E SIR FRANCIS DRAKE BLVD., SUITE 2J		LARKSPUR	CA	CALIFORNIA	94939	415-615-5242	DELAWARE							Limited Partnership		overFiveYears	
0001835823-20-000001	YES	101	0001835823	Boom C a series of Whoa Opportunities LLC	8 THE GREEN	SUITE A	DOVER	DE	DELAWARE	19901	412-298-7195	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001796009-20-000007	YES	101	0001831463	K2 Wellington Liquid Healthcare Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0001671439-20-000003	YES	101	0001671439	Qmerit, Inc.	111 Pacifica	Suite 200	Irvine	CA	CALIFORNIA	92618	(800) 951-0922	DELAWARE				QMerit, Inc.			Corporation		withinFiveYears	2015
0001831459-20-000005	YES	101	0001831461	K2 PSAM Event Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2016
0001835850-20-000001	YES	101	0001835850	Amalfi Growth Fund L.P.	c/o Reviresco Investment GP Amalfi LLC	2126 OYSTER HARBORS	OSTERVILLE	MA	MASSACHUSETTS	02655	617-833-5600	DELAWARE							Limited Partnership		withinFiveYears	2020
0001183740-20-000261	YES	101	0001334933	URANIUM ENERGY CORP	500 NORTH SHORELINE BOULEVARD	SUITE 800N	CORPUS CHRISTI	TX	TEXAS	78401	361-888-8235	NEVADA							Corporation		overFiveYears	
0001796009-20-000006	YES	101	0001831460	K2 PHCM Liquid Opportunities Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0001835710-20-000001	YES	101	0001835710	LVC Prime LP	C/O WALKERS CORPORATE LTD	CAYMAN CORPORATE CENTRE, 27 HOSPITAL RD.	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	345-949-0100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001832474-20-000001	YES	101	0001832474	609 Landers LLC	6339 CHARLOTTE PIKE	#1016	NASHVILLE	TN	TENNESSEE	37209	(254) 800-8562	TENNESSEE							Limited Liability Company		withinFiveYears	2020
0001825661-20-000001	YES	101	0001825661	CLF Partners II, LP	2865 SAND HILL ROAD, SUITE 101		MENLO PARK	CA	CALIFORNIA	94025	650-798-5800	DELAWARE							Limited Partnership		withinFiveYears	2020
0001175332-20-000003	YES	101	0001175332	Armatus Market Neutral Fund, LLC	6331 SUMMIT CIRCLE		CHANHASSEN	MN	MINNESOTA	55317	(952) 935-5014	DELAWARE				ARMATUS MARKET NEUTRAL FUND LP			Limited Liability Company		overFiveYears	
0001835193-20-000001	YES	101	0001835193	UPWARD AMERICA FUND LP	700 NW 107TH AVENUE, SUITE 400		MIAMI	FL	FLORIDA	33172	(305) 485-4124	DELAWARE							Limited Partnership		withinFiveYears	2020
0001831459-20-000004	YES	101	0001831453	K2 GCM Liquid Quant Macro Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2016
0001823098-20-000003	YES	101	0001823098	ASPIRESHIP INC.	15210 N. SCOTTSDALE RD.	#260	SCOTTSDALE	AZ	ARIZONA	85254	(480) 202-1070	DELAWARE							Corporation		withinFiveYears	2019
0000902664-20-004199	YES	101	0001716904	Voce Forte LP	600 MONTGOMERY STREET, SUITE 4400		SAN FRANCISCO	CA	CALIFORNIA	94111	(415) 489-2603	DELAWARE							Limited Partnership		withinFiveYears	2017
0000902664-20-004197	YES	101	0001760517	Voce Forte Offshore LP	WALKERS CORPORATE LIMITED	CAYMAN CORPORATE CENTRE, 27 HOSPITAL RD.	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	(345) 949-0100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2018
0001796009-20-000005	YES	101	0001831458	K2 EMSO Liquid Emerging Market Opportunities Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0001091003-20-000001	YES	101	0001091003	FIVE CORNERS PARTNERS LP	385 Woodland Rd.		Kentfield	CA	CALIFORNIA	94904	(415) 464-1301	CALIFORNIA							Limited Partnership		overFiveYears	
0001834258-20-000001	YES	101	0001834258	Countdown Capital I a series of Countdown Capital LP	505 LYON ST	APT 102	COLUMBIA	MO	MISSOURI	65201	2016757438	DELAWARE							Limited Partnership		withinFiveYears	2020
0001831459-20-000003	YES	101	0001831457	K2 Ellington Liquid Credit Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2018
0001832398-20-000001	YES	101	0001832398	LowCountry Gold, Inc.	1127 TALISMAN ROAD		MOUNT PLEASANT	SC	SOUTH CAROLINA	29464	3039479173	WYOMING							Corporation		withinFiveYears	2020
0001740742-20-000004	YES	101	0001740742	TransparentBusiness, Inc.	228 PARK AVE SOUTH 16065		NEW YORK	NY	NEW YORK	10003	2122160001	DELAWARE							Corporation		overFiveYears	
0001797600-20-000004	YES	101	0001797600	GRIP Molecular Technologies Inc.	1000 WESTGATE DRIVE		SAINT PAUL	MN	MINNESOTA	55114	612-669-9320	MINNESOTA							Corporation		withinFiveYears	2019
0001796009-20-000004	YES	101	0001831456	K2 Bardin Hill Liquid Opportunities Fund Ltd.	Walkers Corporate Limited	Cayman Corporate Centre, 27 Hospital Rd	George Town, Grand Cayman	E9	CAYMAN ISLANDS	KY1-9008	345-814-7600	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0001315863-20-000988	YES	101	0001768387	Kairos Venture Partners III, L.P.	9440 SOUTH SANTA MONICA BOULEVARD, #710		BEVERLY HILLS	CA	CALIFORNIA	90210	310.750.2450	DELAWARE							Limited Partnership		withinFiveYears	2019
0001836193-20-000001	YES	101	0001836193	Chartline UrbanBound Investors, LLC	1105 N. MARKET ST., SUITE 1800		WILMINGTON	DE	DELAWARE	19801	6172855543	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001209191-20-062942	YES	101	0001832338	Knightsbridge Orbit LLC	c/o Knightsbridge Advisers LLC	122 SW Frank Phillips Boulevard	Bartlesville	OK	OKLAHOMA	74003	(918) 336-0978	DELAWARE							Limited Liability Company		withinFiveYears	2020
